DIVULGADOR;ID_RAW;ID_DIGITS;ID;NOME_FANTASIA;RAZAO_SOCIAL;CNPJ_CPF;ENDERECO;NUMERO;CEP;BAIRRO;CIDADE;UF;TELEFONE;EMAIL
Alberto Nogueira;020.743;020743;20743;COLEGIO DIOCESANO DOM JOAO DA MATA;ACAO SOCIAL DA DIOCESE DE CAJAZEIRAS;08.799.173/0054-35;R PADRE LOURENÇO;113;58780-000;ALTO DO MADEIRO;ITAPORANGA;PB;83 3451-2498;diocesanoitaporanga@gmail.com
Alberto Nogueira;021.045;021045;21045;COLÉGIO JOÃO HERMAN RODRIGUES DE FIGUEIREDO;MARIA NUNES RODRIGUES BELMIRO;01.080.479/0001-86;PRAÇA CONEGO ANTONIO ANDRADE;111;58970-000;CENTRO;CONCEIÇÃO;PB;83 99605-5706;colegiojoaoherman@live.com
Alberto Nogueira;011.489;011489;11489;COLÉGIO MONTEIRO LOBATO;COLÉGIO MONTEIRO LOBATO LTDA;24.508.400/0001-70;RUA SEBASTIÃO DE OLIVEIRA;100;58780-000;CENTRO;ITAPORANGA;PB;83 99953-2706;monteirolobato@hotmail.com
Alberto Nogueira;020.295;020295;20295;COLÉGIO NOSSA SENHORA DE LOURDES;ASSOCIAÇÃO DAS DAMAS HOSPITALEIRAS;31.143.381/0002-72;RUA ALCINDO BEZERRA DE MENEZES;137;58500-000;CENTRO;MONTEIRO;PB;83 99815-0017;secretario@lourdinasmonteiro.com
Alberto Nogueira;022.651;022651;22651;EDUCANDÁRIO AMÉRICO MESQUITA;MARIA DE LOURDES CLAUDINO MESQUITA LEITE;10.670.908/0001-66;RUA PEDRO JERÔNIMO ANGÊLO;719;58765-000;OURO BRANCO;PIANCÓ;PB;83 3452-1326 / 9172-1793;atendimento.mesquita@gmail.com
Dayse Pontes;045.891;045891;45891;AGUIA COLEGIO E CURSO;MARIA JOSE DA CONCEICAO FIGUEIREDO;44.342.141/0001-68;RUA VISTA ALEGRE;S/N;58275-000;VISTA ALEGRE;ITAPOROROCA;PB;83 99988-4882;aguiacolegioecurso@yahoo.com.br
Dayse Pontes;013.635;013635;13635;ANGLO CENTRO DE EDUCAÇÃO;ANGLO CENTRO DE EDUCAÇÃO LTDA;06.960.445/0001-08;PRAÇA DA INDEPENDÊNCIA;114;58020-544;TAMBIÁ;JOÃO PESSOA;PB;83 98726-5100;anglocolegioecurso@gmail.com
Dayse Pontes;019.986;019986;19986;ASSESC - COLEGIO DO BETEL BRASILEIRO;ASSESC ASSOC EVANGELICA SEMEADORES DE CRISTO;24.489.262/0001-20;RUA MARIA PEREIRA DA SILVA;157;58090-218;ALTO DO MATEUS;JOÃO PESSOA;PB;83 3042-5116 / 98796-3926;ebbaltodomateusiad@gmail.com
Dayse Pontes;034.272;034272;34272;BERCARIO BEBE QI;MARIA HELIJANIA GOMES PEREIRA 00947596429;28.061.857/0001-30;RUA RAIMUNDO DE CARVALHO NÓBREGA;195;58071-230;CRISTO REDENTOR;JOÃO PESSOA;PB;83 98859-8950;helijaniagomes@gmail.com
Dayse Pontes;035.615;035615;35615;BERCARIO E ESCOLA ABRACE E BRINKE;ANGELICA CARVALHO RODRIGUES DE LIMA;26.180.269/0001-90;RUA DIÓGENES GOMES DA SILVA;68;58059-122;MANGABEIRA;JOÃO PESSOA;PB;83 98663-8469;abracebrinke@hotmail.com
